"","name"
"331","SchreinerUniversity"
"332","WesternCarolinaUniversity"
"333","PacificUniversity"
"334","ShenandoahUniversity"
"335","DeSalesUniversity"
"336","FloridaInstituteofTechnology"
"337","LaGrangeCollege"
"338","StBonaventureUniversity"
"339","WashingtonandLeeUniversity"
"340","SpringfieldCollege"
"341","VirginiaWesleyanCollege"
"342","ParkUniversity"
"343","EndicottCollege"
"344","HowardPayneUniversity"
"345","SalveReginaUniversity"
"346","MassachusettsInstituteofTechnology"
"347","NebraskaWesleyanUniversity"
"348","EckerdCollege"
"349","CollegeofSaintBenedict"
"350","UniversityofLaVerne"
"351","ManchesterUniversity"
"352","GannonUniversity"
"353","WheelockCollege"
"354","WilkesUniversity"
"355","CarrollUniversity"
"356","LewisUniversity"
"357","GeorgianCourtUniversity"
"358","BellarmineUniversity"
"359","NewYorkChiropracticCollege"
"360","FriendsUniversity"
"361","MoodyBibleInstitute"
"362","NorthwesternCollege"
"363","MorningsideCollege"
"364","FerrumCollege"
"365","HighPointUniversity"
"366","HoughtonCollege"
"367","WesternNewEnglandUniversity"
"368","TexasSouthernUniversity"
"369","GeorgetownUniversity"
"370","UniversityofMaryWashington"
"371","HartfordSeminary"
"372","MarywoodUniversity"
"373","AsburyUniversity"
"374","SouthernMethodistUniversity"
"375","SaintFrancisUniversity"
"376","RockhurstUniversity"
"377","WilliamPeaceUniversity"
"378","LyonCollege"
"379","JacksonvilleUniversity"
"380","ClevelandInstituteofMusic"
"381","CokerCollege"
"382","FloridaStateCollegeatJacksonville"
"383","SanFranciscoConservatoryofMusic"
"384","AugsburgCollege"
"385","ViterboUniversity"
"386","MaryBaldwinCollege"
"387","TexasChristianUniversity"
"388","UniversityofWyoming"
"389","HeidelbergUniversity"
"390","RinglingCollegeofArtandDesign"
"391","NotreDameofMarylandUniversity"
"392","McPhersonCollege"
"393","BrenauUniversity"
"394","ClarkeUniversity"
"395","UniversityofNorthCarolinaatAsheville"
"396","MadonnaUniversity"
"397","MarymountUniversity"
"398","RivierUniversity"
"399","HampshireCollege"
"400","BarryUniversity"
"401","LamarUniversity"
"402","YeshivaUniversity"
"403","MisericordiaUniversity"
"404","UniversityofJamestown"
"405","NationalLouisUniversity"
"406","CarrollCollege"
"407","KentuckyWesleyanCollege"
"408","GraduateTheologicalUnion"
"409","UniversityofDelaware"
"410","CazenoviaCollege"
"411","ParkerUniversity"
"412","McKendreeUniversity"
"413","RobertMorrisUniversity"
"414","MercyhurstUniversity"
"415","VirginiaStateUniversity"
"416","CovenantCollege"
"417","DominicanUniversity"
"418","LehighUniversity"
"419","AverettUniversity"
"420","OhioDominicanUniversity"
"421","ThunderbirdSchoolofGlobalManagement"
"422","PhiladelphiaUniversity"
"423","NeumannUniversity"
"424","WilliamMitchellCollegeofLaw"
"425","CedarvilleUniversity"
"426","MountAloysiusCollege"
"427","NorthlandCollege"
"428","MountMercyUniversity"
"429","LorasCollege"
"430","RockyMountainCollege"
"431","OlivetNazareneUniversity"
"432","UniversityofSaintJoseph"
