"","name"
"273","CareerAcademyofBeauty"
"274","CasaLomaCollege-VanNuys"
"275","CET-SanDiego"
"276","CET-Sobrato"
"277","CET-ElCentro"
"278","CET-SanBernardino"
"279","CET-Watsonville"
"280","CET-Gilroy"
"281","CET-Salinas"
"282","CerritosCollege"
"283","CerroCosoCommunityCollege"
"284","ChabotCollege"
"285","ChaffeyCollege"
"286","ChapmanUniversity"
"287","CharlesRDrewUniversityofMedicineandScience"
"288","ConcordiaUniversity-Irvine"
"289","SanDiegoChristianCollege"
"290","ChurchDivinitySchoolofthePacific"
"291","CitrusCollege"
"292","CitrusHeightsBeautyCollege"
"293","CityCollegeofSanFrancisco"
"294","ClaremontGraduateUniversity"
"295","ClaremontMcKennaCollege"
"296","MilanInstitute-Visalia"
"297","ClovisAdultEducation"
"298","CoastlineCommunityCollege"
"299","CogswellCollege"
"300","ColemanUniversity"
"301","COBAAcademy"
"302","WesternUniversityofHealthSciences"
"303","ColumbiaCollege"
"304","ColumbiaCollege-Hollywood"
"305","ElCaminoCollege-ComptonCenter"
"306","WesternBeautyInstitute"
"307","ContraCostaCollege"
"308","CosumnesRiverCollege"
"309","CraftonHillsCollege"
"310","CuestaCollege"
"311","CuyamacaCollege"
"312","CypressCollege"
"313","DeAnzaCollege"
"314","MarinelloSchoolsofBeauty-Hemet"
"315","InternationalSchoolofBeautyInc"
"316","Dell'ArteInternationalSchoolofPhysicalTheatre"
"317","CollegeoftheDesert"
"318","DesignInstituteofSanDiego"
"319","DeVryUniversity-California"
"320","DiabloValleyCollege"
"321","DominicanUniversityofCalifornia"
"322","DominicanSchoolofPhilosophy&Theology"
"323","EastLosAngelesCollege"
"324","MarinelloSchoolsofBeauty-SantaClara"
"325","ElCaminoCommunityCollegeDistrict"
"326","EleganceInternational"
"327","MarinelloSchoolsofBeauty-Burbank"
"328","MarinelloSchoolsofBeauty-MorenoValley"
"329","Emperor'sCollegeofTraditionalOrientalMedicine"
"330","EmpireCollege"
"331","EvergreenValleyCollege"
"332","FashionInstituteofDesign&Merchandising-LosAngeles"
"333","FashionInstituteofDesign&Merchandising-SanFrancisco"
"334","FashionInstituteofDesign&Merchandising-OrangeCounty"
"335","FeatherRiverCommunityCollegeDistrict"
"336","FedericoBeautyInstitute"
"337","FieldingGraduateUniversity"
"338","FiveBranchesUniversity"
"339","HairCaliforniaBeautyAcademy"
"340","FoothillCollege"
"341","FranciscanSchoolofTheology"
"342","FredrickandCharlesBeautyCollege"
"343","FresnoCityCollege"
"344","FresnoPacificUniversity"
"345","FullerTheologicalSeminaryinCalifornia"
"346","FullertonCollege"
"347","GalenCollegeofMedicalandDentalAssistants"
"348","GavilanCollege"
"349","GemologicalInstituteofAmerica-Carlsbad"
"350","GlendaleCommunityCollege"
"351","GlendaleCareerCollege"
"352","GoldenGateUniversity-SanFrancisco"
"353","GoldenWestCollege"
"354","GraduateTheologicalUnion"
"355","GrossmontCollege"
"356","SalonSuccessAcademy-Riverside"
"357","HartnellCollege"
"358","HarveyMuddCollege"
"359","HealdCollege-RanchoCordova"
"360","HealdCollege-Fresno"
"361","HealdCollege-SanJose"
"362","HealdCollege-SanFrancisco"
"363","HealdCollege-Concord"
"364","HilltopBeautySchool"
"365","HolyNamesUniversity"
"366","PacificaGraduateInstitute"
"367","HumboldtStateUniversity"
"368","HumphreysCollege-StocktonandModestoCampuses"
"369","ImperialValleyCollege"
"370","InstituteforBusinessandTechnology"
"371","InteriorDesignersInstitute"
"372","Toni&GuyHairdressingAcademy-SantaMonica"
"373","IrvineValleyCollege"
"374","ITTTechnicalInstitute-NationalCity"
"375","ITTTechnicalInstitute-SanDimas"
"376","ITTTechnicalInstitute-Orange"
"377","BellusAcademy-ElCajon"
"378","JoeBlascoMakeupArtistTrainingCenter"
"379","JohnF.KennedyUniversity"
"380","AmericanJewishUniversity"
"381","ReedleyCollege"
"382","LifePacificCollege"
"383","ArgosyUniversity-TheArtInstituteofCalifornia-SanDiego"
"384","UniversityofLaVerne"
"385","LagunaCollegeofArtandDesign"
"386","LakeTahoeCommunityCollege"
"387","LancasterBeautySchool"
"388","LaneyCollege"
"389","LassenCommunityCollege"
"390","LifeChiropracticCollegeWest"
"391","LincolnUniversity"
"392","SouthernCaliforniaSeminary"
"393","LaSierraUniversity"
"394","LomaLindaUniversity"
"395","LongBeachCityCollege"
"396","SouthernCaliforniaUniversityofHealthSciences"
"397","LosAngelesHarborCollege"
"398","LosAngelesPierceCollege"
"399","LosAngelesSouthwestCollege"
"400","LosAngelesTradeTechnicalCollege"
"401","LosAngelesValleyCollege"
"402","TheMaster'sCollegeandSeminary"
"403","LosAngelesCityCollege"
"404","LosAngelesCountyCollegeofNursingandAlliedHealth"
"405","LosAngelesMissionCollege"
"406","LosMedanosCollege"
"407","ArgosyUniversity-TheArtInstituteofCalifornia-SanFrancisco"
"408","LoyolaMarymountUniversity"
"409","LuRossAcademy"
"410","ManchesterBeautyCollege"
"411","TulareBeautyCollege"
"412","LylesFresnoCollegeofBeauty"
"413","LytlesRedwoodEmpireBeautyCollegeInc"
"414","MTIBusinessCollegeInc"
"415","MTICollege"
"416","BrightwoodCollege-Sacramento"
"417","BrightwoodCollege-SanDiego"
"418","BrightwoodCollege-Vista"
"419","CollegeofMarin"
"420","MarinelloSchoolsofBeauty-LosAngeles"
"421","MarymountCaliforniaUniversity"
"422","MendocinoCollege"
"423","MenloCollege"
"424","MercedCollege"
"425","MerrittCollege"
"426","MillsCollege"
"427","MiraCostaCollege"
"428","MarinelloSchoolsofBeauty-SanFrancisco"
"429","MissionCollege"
"430","ModernBeautyAcademy"
"431","BrightwoodCollege-NorthHollywood"
"432","ModestoJuniorCollege"
"433","MolerBarberCollege"
"434","MiddleburyInstituteofInternationalStudiesatMonterey"
"435","MontereyPeninsulaCollege"
"436","MoorparkCollege"
"437","MtSanAntonioCollege"
"438","MountSaintMary'sUniversity"
"439","MtSanJacintoCommunityCollegeDistrict"
"440","MuellerCollege"
"441","MusiciansInstitute"
"442","NapaValleyCollege"
"443","EverestCollege-SanFrancisco"
"444","EverestCollege-Reseda"
"445","EverestCollege-LAWilshire"
"446","EverestCollege-SanJose"
"447","EverestCollege-Gardena"
"448","EverestCollege-Alhambra"
"449","EverestCollege-SanBernardino"
"450","TheNationalHispanicUniversity"
"451","NationalHolisticInstitute"
"452","NationalUniversity"
"453","NewschoolofArchitectureandDesign"
"454","NewberrySchoolofBeauty"
"455","NorthAdrian'sCollegeofBeautyInc"
"456","North-WestCollege-Pomona"
"457","North-WestCollege-WestCovina"
"458","North-WestCollege-Pasadena"
"459","NotreDamedeNamurUniversity"
"460","OccidentalCollege"
"461","OceansideCollegeofBeauty"
"462","OhloneCollege"
"463","OrangeCoastCollege"
"464","OtisCollegeofArtandDesign"
"465","OxnardCollege"
"466","HopeInternationalUniversity"
"467","ConcordeCareerCollege-SanDiego"
"468","PaloAltoUniversity"
"469","PacificLutheranTheologicalSeminary"
"470","PacificOaksCollege"
"471","PacificSchoolofReligion"
"472","PacificStatesUniversity"
"473","PacificUnionCollege"
"474","UniversityofthePacific"
"475","PaloVerdeCollege"
"476","PalomarCollege"
"477","ParisBeautyCollege"
"478","PasadenaCityCollege"
"479","PepperdineUniversity"
"480","PitzerCollege"
"481","PlattCollege-SanDiego"
"482","PointLomaNazareneUniversity"
"483","PomonaCollege"
"484","PortervilleCollege"
"485","WestwoodCollege-SouthBay"
"486","ProfessionalInstituteofBeauty"
"487","SantaAnaCollege"
"488","PardeeRANDGraduateSchool"
"489","ShastaSchoolofCosmetology"
"490","UniversityofRedlands"
"491","CollegeoftheRedwoods"
"492","SalonSuccessAcademy-Upland"
"493","SalonSuccessAcademy-Corona"
"494","RioHondoCollege"
"495","RiversideCityCollege"
"496","ArgosyUniversity-SanFranciscoBayArea"
"497","RosemeadBeautySchool"
"498","DonggukUniversity-LosAngeles"
"499","SacramentoCityCollege"
"500","SaddlebackCollege"
"501","SamuelMerrittUniversity"
"502","SanDiegoCityCollege"
"503","GolfAcademyofAmerica-Carlsbad"
"504","SanDiegoMesaCollege"
"505","SanDiegoMiramarCollege"
"506","SanDiegoStateUniversity"
"507","UniversityofSanDiego"
"508","SanFranciscoArtInstitute"
"509","SanFranciscoConservatoryofMusic"
"510","SanFranciscoStateUniversity"
"511","SanFranciscoTheologicalSeminary"
"512","UniversityofSanFrancisco"
"513","SanJoaquinCollegeofLaw"
"514","SanJoaquinDeltaCollege"
"515","SanJoaquinValleyCollege-Visalia"
"516","SanJoaquinValleyCollege-Bakersfield"
"517","WilliamJessupUniversity"
"518","SanJoseCityCollege"
"519","SanJoseStateUniversity"
"520","CollegeofSanMateo"
"521","SantaBarbaraBusinessCollege-Bakersfield"
"522","WestwoodCollege-LosAngeles"
"523","SantaBarbaraBusinessCollege-SantaMaria"
"524","SantaBarbaraCityCollege"
"525","SantaClaraUniversity"
"526","SantaMonicaCollege"
"527","SantaRosaJuniorCollege"
"528","SaybrookUniversity"
"529","ScrippsCollege"
"530","Wyotech-Fremont"
"531","CollegeoftheSequoias"
"532","ShastaBibleCollegeandGraduateSchool"
"533","ShastaCollege"
"534","SierraCollege"
"535","SierraCollegeofBeauty"
"536","SierraValleyCollegeofCourtReporting"
"537","TrinityLawSchool"
"538","SimpsonUniversity"
"539","CollegeoftheSiskiyous"
"540","CharlesAJonesCareerandEducationCenter"
"541","SkylineCollege"
"542","SanBernardinoValleyCollege"
"543","SaintMary'sCollegeofCalifornia"
"544","SolanoCommunityCollege"
"545","SonomaStateUniversity"
"546","PinnacleCollege"
"547","SouthBayloUniversity"
"548","SouthCoastCollege"
"549","VanguardUniversityofSouthernCalifornia"
"550","ConcordeCareerCollege-GardenGrove"
"551","SouthwesternCollege"
"552","StarrKingSchoolfortheMinistry"
"553","MarshallBKetchumUniversity"
"554","SouthernCaliforniaInstituteofArchitecture"
"555","UniversityofSouthernCalifornia"
"556","SouthwesternLawSchool"
"557","TaftCollege"
"558","ClaremontSchoolofTheology"
"559","ThomasAquinasCollege"
"560","MarinelloSchoolsofBeauty-LakeForest"
"561","EpicBibleCollege"
"562","UnitedEducationInstitute-HuntingtonParkCampus"
"563","ConcordeCareerCollege-SanBernardino"
"564","UniversalCollegeofBeautyInc-LosAngeles1"
"565","ConcordeCareerCollege-NorthHollywood"
"566","VenturaCollege"
